"COD_EMPRESA","NUM_PEDIDO","NUM_SEQUENCIA","COD_ITEM","QTD_PECAS_SOLIC","PRE_UNIT","PCT_DESC_ADIC","PCT_DESC_BRUTO","PRZ_ENTREGA","VAL_SEGURO_UNIT","VAL_FRETE_UNIT"
"01",20145,1,"3201010101001  ",1,3295,0,0,[2016/10/18:12:00:00 AM],0,0
"01",20145,2,"3201010101001  ",1,3850,0,0,[2016/10/18:12:00:00 AM],0,0
"01",22280,1,"0301020101162  ",1,5880,0,0,[2017/10/03:12:00:00 AM],0,0
"01",20145,3,"3201010101001  ",1,350,0,0,[2016/10/18:12:00:00 AM],0,0
"01",20145,4,"0301020101164  ",1,5535,0,0,[2016/10/18:12:00:00 AM],0,0
"01",19395,2,"0302020101017  ",1,161,0,0,[2016/06/29:12:00:00 AM],0,0
"01",19689,1,"0301040101006  ",1,3790,0,0,[2016/08/16:12:00:00 AM],0,0
"01",18817,1,"3305010204001  ",1,13250,0,0,[2016/04/06:12:00:00 AM],0,0
"01",19905,1,"3311010201010  ",4,505,0,0,[2015/10/14:12:00:00 AM],0,0
"01",19905,2,"3311010201011  ",4,505,0,0,[2015/10/14:12:00:00 AM],0,0
"01",10388,1,"3311010102001  ",1,4460,0,0,[2013/02/06:12:00:00 AM],0,0
"01",18817,2,"3201010101001  ",1,14515,0,0,[2016/04/06:12:00:00 AM],0,0
"01",18817,3,"3305010204002  ",1,460,0,0,[2016/04/06:12:00:00 AM],0,0
"01",18817,4,"3201010101001  ",1,887,0,0,[2016/04/06:12:00:00 AM],0,0
"01",19306,1,"0302010101010  ",8,196,0,0,[2016/07/16:12:00:00 AM],0,0
"01",19772,1,"0302082004016  ",4,65,0,0,[2016/08/29:12:00:00 AM],0,0
"01",19772,2,"0302082004017  ",4,65,0,0,[2016/08/29:12:00:00 AM],0,0
"01",19772,3,"0302082004022  ",2,225,0,0,[2016/09/23:12:00:00 AM],0,0
"01",7946,1,"0302060401001  ",17,27.6,0,0,[2012/01/19:12:00:00 AM],0,0
"01",22685,1,"0302010101033  ",30,175,0,0,[2017/12/13:12:00:00 AM],0,0
"01",14574,1,"0302082004025  ",1,255,0,0,[2014/08/20:12:00:00 AM],0,0
"01",17868,1,"0301020103100  ",1,11994.95,0,0,[2015/10/20:12:00:00 AM],0,0
"01",14574,2,"0302082004012  ",2,499,0,0,[2014/08/20:12:00:00 AM],0,0
"01",7946,2,"0302060401003  ",17,29.9,0,0,[2012/01/19:12:00:00 AM],0,0
"01",22817,1,"3305010201007  ",1,680,0,0,[2018/01/19:12:00:00 AM],0,0
"01",22200,1,"0301020103100  ",1,18340,0,0,[2017/09/29:12:00:00 AM],0,0
"01",11806,1,"3201010101001  ",9,2060,0,0,[2013/09/27:12:00:00 AM],0,0
"01",11806,2,"3201010101001  ",3,552,0,0,[2013/09/27:12:00:00 AM],0,0
"01",17868,2,"0301020103099  ",1,10490,0,0,[2015/10/20:12:00:00 AM],0,0
"01",18979,1,"0302010101011  ",8,159,0,0,[2016/05/04:12:00:00 AM],0,0
"01",18979,2,"0302020101017  ",8,156,0,0,[2016/05/04:12:00:00 AM],0,0
"01",18351,1,"0302060101002  ",200,51.5,0,0,[2016/02/19:12:00:00 AM],0,0
"01",20086,1,"0301020205043  ",1,19050,0,0,[2016/11/11:12:00:00 AM],0,0
"01",17921,1,"0301020101163  ",1,3785,0,0,[2015/10/23:12:00:00 AM],0,0
"01",22817,2,"3305010201006  ",1,465,0,0,[2018/01/19:12:00:00 AM],0,0
"01",17921,2,"0301020101166  ",1,4512,0,0,[2015/10/23:12:00:00 AM],0,0
"01",22817,3,"3305010201001  ",1,7740,0,0,[2018/01/19:12:00:00 AM],0,0
"01",20086,2,"0301020205044  ",1,13580,0,0,[2016/11/11:12:00:00 AM],0,0
"01",22817,4,"3305010201005  ",1,9717,0,0,[2018/01/19:12:00:00 AM],0,0
"01",14574,3,"0302082004013  ",5,190,0,0,[2014/08/20:12:00:00 AM],0,0
"01",11806,3,"3201010101001  ",9,2675,0,0,[2013/09/27:12:00:00 AM],0,0
"01",11806,4,"3201010101001  ",3,995,0,0,[2013/09/27:12:00:00 AM],0,0
"01",17936,1,"0301020101163  ",1,3921,0,0,[2015/10/26:12:00:00 AM],0,0
"01",17936,2,"0301020101164  ",1,4299,0,0,[2015/10/26:12:00:00 AM],0,0
"01",19827,1,"3305010201003  ",1,10036,0,0,[2016/10/04:12:00:00 AM],0,0
"01",11856,1,"0302082004034  ",4,224,0,0,[2013/07/15:12:00:00 AM],0,0
"01",11856,2,"0302082004032  ",8,81,0,0,[2013/07/15:12:00:00 AM],0,0
"01",18557,1,"0301020302002  ",1,288,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,2,"0302080601001  ",2,95,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,3,"0302080601002  ",10,32,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,4,"0302080601003  ",1,32,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,5,"0302080601004  ",1,1,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,6,"0302080601005  ",1,50,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,7,"0302080601006  ",1,50,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,8,"0302080601007  ",2,85,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,9,"0302080601008  ",2,90,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,10,"0302080701001  ",11,216,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,11,"0302010101009  ",4,75,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,12,"0302020101024  ",4,56,0,0,[2016/02/23:12:00:00 AM],0,0
"01",18557,13,"0301020302010  ",2,30,0,0,[2016/02/23:12:00:00 AM],0,0
"01",17820,1,"0302010101011  ",32,175,0,0,[2015/10/15:12:00:00 AM],0,0
"01",17820,2,"0302020101008  ",8,98,0,0,[2015/10/15:12:00:00 AM],0,0
"01",17820,3,"0301030105010  ",8,75,0,0,[2015/10/15:12:00:00 AM],0,0
"01",17820,4,"0304010106014  ",250,20,0,0,[2015/10/30:12:00:00 AM],0,0
"01",17820,5,"0302080203007  ",8,120,0,0,[2015/10/15:12:00:00 AM],0,0
"01",17820,6,"0302080203005  ",16,107,0,0,[2015/10/15:12:00:00 AM],0,0
"01",17820,7,"0302080203004  ",4,570,0,0,[2015/10/15:12:00:00 AM],0,0
"01",17820,8,"0302080201014  ",3,750,0,0,[2015/10/15:12:00:00 AM],0,0
"01",19827,2,"3305010201004  ",1,8797,0,0,[2016/10/04:12:00:00 AM],0,0
"01",14574,4,"0302082004014  ",5,190,0,0,[2014/08/20:12:00:00 AM],0,0
"01",19098,1,"3305010201005  ",1,6500,0,0,[2016/05/23:12:00:00 AM],0,0
"01",19827,3,"3305010201006  ",1,340,0,0,[2016/09/06:12:00:00 AM],0,0
"01",19827,4,"3305010201007  ",1,494,0,0,[2016/09/04:12:00:00 AM],0,0
"01",14574,5,"0302082004015  ",5,180,0,0,[2014/08/20:12:00:00 AM],0,0
"01",14574,6,"0302082004020  ",1,550,0,0,[2014/08/20:12:00:00 AM],0,0
"01",14574,7,"0302082004025  ",1,255,0,0,[2014/09/20:12:00:00 AM],0,0
"01",14574,8,"0302082004012  ",2,499,0,0,[2014/09/20:12:00:00 AM],0,0
"01",14574,9,"0302082004013  ",5,190,0,0,[2014/09/20:12:00:00 AM],0,0
"01",14574,10,"0302082004014  ",5,190,0,0,[2014/09/20:12:00:00 AM],0,0
"01",14574,11,"0302082004015  ",5,180,0,0,[2014/09/20:12:00:00 AM],0,0
"01",14574,12,"0302082004020  ",1,550,0,0,[2014/09/20:12:00:00 AM],0,0
"01",14574,13,"0302082004025  ",1,255,0,0,[2014/10/20:12:00:00 AM],0,0
"01",14574,14,"0302082004012  ",2,499,0,0,[2014/10/20:12:00:00 AM],0,0
